NO STOPPING-DAY/TIME LIMITS
FIRE HYDRANT
NO STANDING-BUS STOP
DOUBLE PARKING
NO STANDING-DAY/TIME LIMITS
SAFETY ZONE
NO STANDING-COMM METER ZONE
OBSTRUCTING DRIVEWAY
NO STANDING-EXC. TRUCK LOADING
INSP. STICKER-EXPIRED/MISSING
FRONT OR BACK PLATE MISSING
NO MATCH-PLATE/STICKER
FAIL TO DSPLY MUNI METER RECPT
REG. STICKER-EXPIRED/MISSING
NO PARKING-STREET CLEANING
NO PARKING-DAY/TIME LIMITS
OTHER
NO STANDING-TAXI STAND
FAIL TO DISP. MUNI METER RECPT
EXPIRED MUNI MTR-COMM MTR ZN
VIN OBSCURED
DOUBLE PARKING-MIDTOWN COMML
NO STANDING-HOTEL LOADING
NO STANDING-BUS LANE
NO STANDING-EXC. AUTH. VEHICLE
EXPIRED MUNI METER
CROSSWALK
NON-COMPLIANCE W/ POSTED SIGN
BEYOND MARKED SPACE
PLTFRM LFTS LWRD POS COMM VEH
BIKE LANE
NGHT PKG ON RESID STR-COMM VEH
INSP STICKER-MUTILATED/C'FEIT
SIDEWALK
DETACHED TRAILER
MISSING EQUIPMENT
REG STICKER-MUTILATED/C'FEIT
OVERNIGHT TRACTOR TRAILER PKG
STORAGE-3HR COMMERCIAL
IMPROPER REGISTRATION
NO STANDING EXCP D/S
UNAUTHORIZED BUS LAYOVER
COMML PLATES-UNALTERED VEHICLE
OBSTRUCTING TRAFFIC/INTERSECT
DIVIDED HIGHWAY
NO STANDING-COMMUTER VAN STOP
PEDESTRIAN RAMP
BUS PARKING IN LOWER MANHATTAN
INTERSECTION
WRONG WAY
OVERTIME PKG-TIME LIMIT POSTED
ANGLE PARKING
TRAFFIC LANE
PARKED BUS-EXC. DESIG. AREA
NO PARKING-TAXI STAND
NO STD(EXC TRKS/GMTDST NO-TRK)
VEH-SALE/WSHNG/RPRNG/DRIVEWAY
VEHICLE FOR SALE(DEALERS ONLY)
UNAUTHORIZED PASSENGER PICK-UP
FAILURE TO DISPLAY BUS PERMIT
NO STOP/STANDNG EXCEPT PAS P/U
NO PARKING-EXC. AUTH. VEHICLE
SELLING/OFFERING MCHNDSE-METER
RAILROAD CROSSING
EXCAVATION-VEHICLE OBSTR TRAFF
IDLING
NIGHTTIME STD/ PKG IN A PARK
OT PARKING-MISSING/BROKEN METR
PKG IN EXC. OF LIM-COMM MTR ZN
WASH/REPAIR VEHCL-REPAIR ONLY
VACANT LOT
REMOVE/REPLACE FLAT TIRE
MISCELLANEOUS
ANGLE PARKING-COMM VEHICLE
NO STANDING EXCP DP
OVERTIME STDG D/S
ALTERING INTERCITY BUS PERMIT
